Agent Name,Address,District,City,Latitude,Longitude
Afsana And Aska Enterprise,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79184,89.87692
New Refrigeration,Mithakhali- মংলা- বাংলাদেশ,মীতাখালী,মংলা,22.46764,89.66756
M/S Jouty Enterprise,Mongla Road- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
Bhai Bhai Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Sabinoy Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Md Forid Telecom,Banstali- রামপাল- বাংলাদেশ,বনসতলী,রামপাল,22.57911,89.68475
M/S Mohammodia Vandar,Digraj- মংলা- বাংলাদেশ,দিগরাজ,মংলা,22.53288,89.59026
Vai Vai Store,Jatrapur- বাগেরহাট সদর- বাংলাদেশ,যাত্রাপুর,বাগেরহাট সদর,22.72263,89.74719
Maliha Telecom,Bager Hat- মোড়লগঞ্জ- খুলনা- বাংলাদেশ,Bager Hat,মোড়লগঞ্জ,22.57244,89.95683
Farhan Telecom,চিতলমারী- খুলনা- বাংলাদেশ,চিতলমারী,চিতলমারী,22.79148,89.87604
