Agent Name,Latitude,longitude
M/S ANONDA PROCHARONI RPKOMARI AND TELECOM,22.88987,89.77417
GOPAL VIDEO AND BATTERY,22.72263,89.74719
Mayer Doa Cosmetics And Telecom Point,22.47071,89.60319
Aritra Telecom,22.6579,89.77002
M/S FAHAD MEDICAL HALL,22.69637,89.75962
Noldha Mouvag Udc,22.77442,89.71553
Muhit Telecom,22.58227,89.66661
Mizan Store,22.6579,89.77002
Jakir Electronics And Telecom,22.88987,89.77417
Ema Digital Studio,22.704,89.79961
Kohinur Electronics,22.65517,89.778
NAHID TELECOM,22.45366,89.84988
RIPON TELECOM,22.47071,89.60319
NONGAR SUPER SHOP AND FAST FOOD CORNER,22.53288,89.59026
MS AA-NAS TALUKDER ENTERPRISE,22.46981,89.64699
M/S Shaon Variety Store,22.6579,89.77002
A To Z Corner,22.6579,89.77002
Abs Computer,22.6579,89.77002
Tahmid Enterprise,22.68844,89.80094
TUTUL TELECOM,22.6579,89.77002
JEWEL STORE,22.47071,89.60319
OBAYDUL KRISHI GHOR,22.77442,89.71553
Harun Dal Mill,22.6579,89.77002
Jubaer Telecom,22.45358,89.85153
Mayer Doya Enterprise,22.88987,89.77417
Vai Vai Electronics,22.79184,89.87692
Kabir Telecom And Varieti Store,22.57244,89.95683
Ma Telecom,22.704,89.79961
M/S Jakir Merin Store,22.49428,89.59333
Mizba Digital Studio,22.79184,89.87692
Urmi Fashion Collection,22.74137,89.65608
Tarisha Hardware And Electronics Corner,22.69637,89.75962
Yeasin Telecom,22.77442,89.71553
Krishna Varieties Store,22.6579,89.77002
Rony Telecom And Computer,22.69637,89.75962
Dream Touch Digital Studio,22.69637,89.75962
MOON DIGITAL STUDIO O COMPUTER,22.57244,89.95683
Habiba Store,22.79184,89.87692
Choncol Telecom,22.69637,89.75962
Sampriti Digital Dong,22.77442,89.71553
Sarif Enterprise,22.58893,89.69267
Howlader Telecom,22.31333,89.84862
Anisha Telecom,22.77442,89.71553
BISMILLAH TELECOM,22.57244,89.95683
M/S Howlader Enterprise,22.6579,89.77002
Lomi pharmacy,20.72667,86.40375
Chacha Vatija Telecom,22.79184,89.87692
RONY DIGITAL STUDIO,22.79184,89.87692
SAHANAJ TELECOM,22.6579,89.77002
TONU STORE,22.47071,89.60319
Tanha Enterprise,22.6579,89.77002
