Agent Name,Latitude,longitude
AMIR STORE,24.64496,89.25445
M/S RAZZAK VARIETY STORE,24.90104,89.35636
Master Mobile Center,24.90481,89.57493
Jim Mobile Servicing Center,24.90104,89.35636
R S Enterprise,24.88267,89.54186
MONI TELECOM,24.78887,89.0539
M/S Mondol Enterprise,25.01522,89.31721
M/S Deloara Enterprise,24.62992,89.43638
Shishir Tailors,24.89493,89.45789
Nasir Enterprise,24.90104,89.35636
Himaloy Communication Center,24.84525,89.51633
M/S Jamirul Telecom,24.89493,89.45789
Munnu Enterprise,24.87972,89.35234
M/S Mahim Business Online Service,25.01522,89.31721
MRS TELECOM,24.9033,89.35556
AMIO PHARMACY,24.84881,89.41435
M/S MIJANUR PHARMACY,25.01663,89.31705
M/S Mahi Traders,25.02865,89.45682
Khondoker Electric And Hardware Varieties Store,24.62992,89.43638
M/S Ronju Store,24.62992,89.43638
Friends Hello Station,24.62992,89.43638
M/S Sarkar Pharmacy,27.84449,79.5653
New Vai Vai Motors,24.90104,89.35636
Debkrishno Dot,24.89493,89.45789
Suraiya Store,24.88169,89.35375
Ainul Paan Ghor,24.90104,89.35636
Tasdid Telecom,24.90104,89.35636
ROKET STORE,24.90104,89.35636
M/S Plabon Telecom And Electronics,24.78887,89.0539
Gun Gun Store,24.90104,89.35636
M/S Shahel Traders,24.84881,89.41435
M/S MOSTOFA I S DEPARTMENTAL STORE,25.01663,89.31705
M/S Imran Digital Video Studio,24.90104,89.35636
Ornob Electric And Varity Store,24.73949,89.39739
Alvi Traders,24.78355,89.47556
M/S Rahman Traders,24.67073,89.4514
Motin Store,24.62992,89.43638
Samara Computer,24.87972,89.35234
Rupborno Telecom,24.84578,89.36555
S A Departmental Store,24.83213,89.27856
M/S Maa Digital Media,25.01522,89.31721
Bublu Enterprise,24.93424,89.34765
M/S Nurjahan Traders,24.79826,89.21656
Asif Telecom,28.8597,77.95121
Fariha Departmental Store,24.73949,89.39739
M/S Rakib Store,24.90481,89.57493
M/S MIM TELECOM,25.01663,89.31705
M/S SHIRAJ TRADERS,24.90104,89.35636
Naem Computer,24.90104,89.35636
Maa Traders,24.62992,89.43638
M/S Al Rafi Traders,24.62992,89.43638
SHORNA STORE,24.85046,89.36655
Muni Mobile Telecom,24.89536,89.15688
Onuva Threepic And Fashion,24.84576,89.35985
Bappy Grocery Shope,24.88169,89.35375
Lava Telecom And Pharmacy,29.79623,76.39221
M/S POLASH TRADERS,22.66096,88.34285
Joy Sports And Garments,24.88193,89.54883
Durgahata Stationary and Telecom,24.84525,89.51633
JIHAD ENTERPRISE,24.62992,89.43638
M/S Mukti Bostrolay,24.64953,89.25301
Dui Vai Cosmetics,24.83282,89.26784
Ms Vai Vai Telecom,27.31054,80.98054
RAFIKUL TELECOM,24.95172,89.55471
SADAB ELECTRONICS,24.90104,89.35636
M/S NAYEM TELECOM,24.73949,89.39739
M/S MOTASIN VARIETY STORE,24.83282,89.26784
Masud Medical Holl And Telecom,24.78846,89.38978
Vai Vai Store,24.67073,89.4514
FARUK VARIETIES STORE,24.77493,89.50187
Aminur Phone Fax,24.84576,89.35985
M/S Phones For You,24.64953,89.25301
M/S Sarker Plaza Pharmacy,24.68484,89.54464
S S Enterprise,24.83629,89.37468
M/S Sotota Variety Store,24.62992,89.43638
RAZZAK ELECTRONICS,24.90481,89.57493
M/S Bismillah Pharmacy,24.64496,89.25445
Afsana Primary Health Care O Afsana Telecom,24.77282,89.34888
M/S MASTER VARIETY STORE,24.83213,89.27856
AL AMIN TELECOM,24.90104,89.35636
SOYKOT TELECOM,24.88283,89.22208
M/S Shadhin Pharmacy,25.01663,89.31705
Vai Bon Cosmetics,24.64496,89.25445
Surovi Store,24.62992,89.43638
M/S Borno Bima Enterprise,24.64496,89.25445
Nijhum Traders,24.87972,89.35234
SUMAIYA ELECTRICS AND ELECTRONICS,25.01663,89.31705
Puja Computer And Photostat Center,24.87843,89.49706
Bipul Store,24.90104,89.35636
M/S Rahman Enterprise,24.88013,89.44809
Maa Telecom,24.64496,89.25445
Sipat Hasan Traders,24.64496,89.25445
M/S M S Traders,25.19435,85.5088
Polly Seba Telecom And Electronics,24.83629,89.37468
Tasrif Traders,24.78887,89.0539
JENIAL PHARMACY,24.90104,89.35636
M/S Mashiur Variety Store,24.83282,89.26784
LAYLA PHARMACY AND LIPI POLLI PHONE SERVICE,25.02918,89.49192
Nazrul Pharmacy,24.86145,89.49583
SAFOLLO TRADERS,24.73948,89.39739
Mozaffor Store,25.01663,89.31705
M/S Abir Pharmacy,24.64496,89.25445
Shohid Traders,24.90104,89.35636
U M TRADERS,25.02865,89.45682
Abdur Rahman Traders,24.85974,89.44476
Jakir Store,24.64496,89.25445
M/S Ashu Digital Studio And Online Servics,22.55757,85.80029
MOSLEM STORE,24.89536,89.15688
Shohel Telecom,24.62992,89.43638
M/S Zihad Pharmacy,24.78887,89.0539
Nirob Phone Service,24.78887,89.0539
Shahidul Electric,24.90104,89.35636
JOBAYER SASTO SHEBA KENDRO,24.78887,89.0539
M/S SADDAM STORE,24.64496,89.25445
M/S Asma Traders,24.83282,89.26784
M/S MEGH KRISHI TRADERS,24.83629,89.37468
Black For Main,24.78887,89.0539
M/S Ma Enterprise,24.83282,89.26784
Asha Traders,24.89493,89.45789
M/S Belal Mobile Center,24.64496,89.25445
Vai Vai Photostad,24.90104,89.35636
MAA ELECTRONICS,25.02918,89.49192
GOLABARI COMMUNICATIONS,24.83401,89.46768
SHAMIM STORE,25.02865,89.45682
M/S Ma Telecom,24.81893,89.50929
M/S Khondokar Variety Store,24.77493,89.50187
M/S Imrul Store,24.48388,83.77677
M/S VAI VAI STORE,24.77493,89.50187
Maa Pharmacy,24.77282,89.34888
MANTASA STORE,24.89536,89.15688
Mayer Doa Variety Store,24.84525,89.51633
M/S Ayesha Traders,24.62992,89.43638
S RAHMAN STORE,24.90104,89.35636
Munju Pharmacy,24.89493,89.45789
Vai Bone Traders,24.64496,89.25445
Rafid Medical Store,24.83282,89.26784
Karotoa Couriar Service,24.90104,89.35636
Saju Body Builders,24.9033,89.35556
M/S NABIL TELECOM,25.02918,89.49192
SINGER BANGLADESH LIMITED,25.02918,89.49192
Rubaiya Traders,24.87972,89.35234
NUR AHMED MEDICAL STORE,24.64353,89.25356
Uzzal Telecom,24.83629,89.37468
M/S Raju Electronics And Telecom,27.31054,80.98054
M/S ALOM TRADERS,24.77493,89.50187
Ruddur Variety Store,24.66948,89.45928
Ma Telecom And Computer,24.89493,89.45789
Ms Situ Traders,24.66403,89.49499
Younus Digital Studio,24.90481,89.57493
MELA,24.90104,89.35636
M/S KHAN ENTERPRISE,24.85046,89.36655
M/S KHOKON TRADERS,24.83629,89.37468
Mondol Enterprise,24.95172,89.55471
Bablu Telecom,24.90104,89.35636
M/S Sabit Traders,24.90481,89.57493
Vai Vai Stol,24.62992,89.43638
M/S NAZMA MEDICAL STORE,25.02918,89.49192
Vai Vai Store,24.84525,89.51633
M/S Soma Traders,28.31724,80.18316
Bismillah Business Point,24.62992,89.43638
Nayem Nahid Store,24.67073,89.4514
Tasnim Store,24.62992,89.43638
Razzak Cycle Garage,25.01663,89.31705
MONI MOBILE CENTER AND NANS DEPARTMENTAL STORE,24.90104,89.35636
Mayer Shoa Variety Store,24.78812,89.45648
Eidris Cosmetics,24.83629,89.37468
SETU DIGITAL STUDIO,24.87972,89.35234
M/S Habib Variety Store,24.89536,89.15688
R S Mahin Telecom,25.01663,89.31705
Ma Medical Store,24.89569,89.56766
ASIR UDDIN STORE,24.89536,89.15688
Dui Vai Telecom,24.83213,89.27856
Bondhu Electric And Furniture Mart,24.62992,89.43638
Milon General Store,25.02918,89.49192
M/S Vai Vai Electric And Hardware,24.66948,89.45928
Sopno Traders,24.85014,89.37302
M/S Emran Telecom,25.01663,89.31705
Israt Telecom,25.00197,88.37545
M/S Naim Store,24.62992,89.43638
Parsha Telecom,29.79448,76.39659
Masud Traders,24.78887,89.0539
Ambey Electronics,24.89493,89.45789
RONI HARDWARE O SANITARY STORE,24.95188,89.40158
M/S SAROWAR STORE,24.90104,89.35636
M/S Bulbul Store,24.84767,89.36508
HASAN BAYEZID PHARMACY,24.62992,89.43638
TITU KONA VARIETIES STORE,24.83629,89.37468
M/S Lipi Pharmacy And Telecom Center,24.89536,89.15688
Adarsha Library,25.01663,89.31705
M/S ROMAN TRADERS,24.99516,89.37577
Fire Safety Equipment,24.90104,89.35636
Shammi Traders,24.89493,89.45789
Niha Store,25.02918,89.49192
M/S Samira Telecom And Computer,24.78887,89.0539
BHAI BON TELECOM,24.85046,89.36655
Ma Babar Doa Telecom,24.63346,89.43638
Rubel Store,24.90104,89.35636
Siam Computer Studio And Video,24.64496,89.25445
Mujahid Phone Fax,24.66526,89.4191
Afia Shoes And Variety Store,24.78887,89.0539
Bhai Bhai Electric And Mobile Center,24.78887,89.0539
Maruf Telecom,23.94051,89.40709
SAFA VARIETY STORE,24.78887,89.0539
M/S MA TRADERS,24.82357,89.40508
YASIN PHOTOSTAT,24.89493,89.45789
MOBILE PARK,24.84578,89.36555
SHAJAL STORE,24.90104,89.35636
M/S Siam Enterprise,24.90104,89.35636
THIKANA MOBILE CENTER,25.04066,89.35245
Sakib Battery,24.90104,89.35636
Vai Vai Traders,24.89493,89.45789
M/S Ridoy Riddhi Enterprise,22.76185,88.26936
SHATHI BASHONALOY,24.90104,89.35636
Master Shoping Center,24.90104,89.35636
S M Telecom,24.90104,89.35636
M/S Sanjit Traders,24.64496,89.25445
M/S Sumon Traders,24.66526,89.4191
Sadik Telecom,24.84767,89.36508
SINHA FURNITURE,24.90104,89.35636
Bismillah Krishi Bitan,24.88193,89.54883
RAKIB PHARMACY,24.78887,89.0539
AL AMIN STORE,24.89493,89.45789
APPLE BIZ BHANDAR,24.90104,89.35636
KHAN MOBILE CENTER,24.84578,89.36555
Katha Moni Traders,24.77493,89.50187
MAMA STATIONERY,24.90104,89.35636
Zim Medicine Center,24.90104,89.35636
Kasem Telecom,24.90104,89.35636
Bhai Bhai Store,24.87843,89.49706
Al Kafi Store,24.78887,89.0539
Baba Ma Doa Varieties Store,24.90481,89.57493
RASED COSMETICS,24.83239,89.18287
Vai Bon Studio Telecom,24.62992,89.43638
M/S Rahi Store,24.90104,89.35636
M R Enterprise,24.67073,89.4514
M/S Bhai Bon Traders,24.66908,89.46732
SHOHAN HARBAL PHARMECY,27.87772,79.91096
Zaylal Bostraloy,24.89536,89.15688
Pitu Cosmetics,24.92793,89.48412
M/S Sajid Stationery,19.18751,72.97703
SELIM TELECOM,24.90104,89.35636
KAMRUL HASAN MILTON STORE,24.84525,89.51633
JALAL STORE,24.90104,89.35636
M/S Maminur Traders,24.89536,89.15688
Arman Telecom,24.89493,89.45789
Milon Varieties Store,24.66948,89.45928
MAA COSMETICS,24.83864,89.36856
M/S Sohel Traders,24.90481,89.57493
M/S Sojol Furniture And Khat Ghor,25.02918,89.49192
Maa Ghorowa Hotel,24.66908,89.46732
SURMA IT AND TELECOM,25.01663,89.31705
SHOFIQ TELECOM,25.01663,89.31705
Munni Telecom,25.01882,89.52841
M/S MAISA ENTERPRISE,24.83293,89.37459
Student Tailors And Bastro Bethan,24.88908,89.36034
Hasan Store,24.89536,89.15688
A K Toha Telecom,24.64496,89.25445
Liton Mobile Center,24.89493,89.45789
Sojib Store,24.73984,89.39747
CHOWDHURY PHONE FAX,24.62992,89.43638
Fnf Telecom and Varieties Store,24.87938,89.53115
M/S Amin Traders,24.75653,89.2521
Maliha Mehedi Digital Studio,25.02918,89.49192
M/S Sanowar Digital Studio,24.90104,89.35636
Rs Photostat,24.88169,89.35375
Maa Cosmetics,24.64496,89.25445
Komol Stationery Shop,24.90725,89.32819
Maa Varieties Store,24.66908,89.46732
M/S Maa Khadiza Traders,24.89536,89.15688
M/S Nasim Traders.,25.01663,89.31705
EVA TELECOM,24.78355,89.47556
M/S Muktima Variety Store,24.89493,89.45789
SORNA MEDICAL STORE,24.83864,89.36856
APURBO MOBILE SERVICING CENTER,24.90104,89.35636
Bodhua Cosmetics,24.89536,89.15688
M/S Dui Vai Traders,24.64496,89.25445
M/S Ashik Store,24.66908,89.46732
M/S Rokaiyat Electronics,25.01663,89.31705
M/S BADOL TELECOM AND ELECTRONICS,24.89361,89.57426
Ma Store,24.89493,89.45789
PARENT ENTERPRISE,25.01663,89.31705
M/S Mondol Traders,24.65674,89.20574
M/S Ripon Enterprise,25.02918,89.49192
Jahid Variety Store,22.76716,88.26062
Jara Shoe Fashion Store,24.82487,89.48958
M/S Shamima Enteprise,24.89536,89.15688
Toru Departmental Store,24.90104,89.35636
M/S Anamul Traders,24.78887,89.0539
MAHABUB TELECOM,24.90104,89.35636
MS Alap Mobile Center And Variety,24.83239,89.18287
Bhai Bhai Store,24.90104,89.35636
Bhai Bhai Store,24.83282,89.26784
S R Enterprirse,24.85464,89.37251
Sonjoy Electronics,25.01801,89.40508
Naim General Store,28.23801,80.10875
ZARIN TELECOM,24.62992,89.43638
M/S G M Enterprise,24.83629,89.37468
Shakaowat Telecom,24.84525,89.51633
Bismillah Traders,25.02849,89.45586
Ruhi Store,24.9033,89.35556
Ma Studio And Variety Store,24.82487,89.48958
Arafat Store,24.84578,89.36555
Said Sanitary,24.88169,89.35375
Mitali Mobile Center,24.78887,89.0539
Mobile electronic samogri,22.17234,69.32482
BISMILLAH TELECOM,24.86572,89.41873
N M Electronics,24.78887,89.0539
MAHI MEDICAL STORE,24.82548,89.3781
Sani Telecom,24.90104,89.35636
Megh Balika Departmental Store,24.88776,89.3813
M/S Arshad Medicine,25.02918,89.49192
Shagor Variety Store,25.03653,89.49977
Jamuna Plus Pharmacy,28.23801,80.10875
M/S ROBIN TELECOM,24.83629,89.37468
SARGO TELECOM HOUSE,24.93424,89.34765
M/S Arafat Shuvo Steel,24.83629,89.37468
M/S Jannat Varieties Store,25.01663,89.31705
Sathi Crockeries And Gift Point,24.82487,89.48958
Elahi Autoz,11.8716,75.36503
BISMILLAH PHONE CALL,24.90104,89.35636
Sabina Cosmetric,25.05429,89.36858
Likhon Pharmacy,24.85025,89.38241
M/S Tanvir And Tamim Traders,25.02865,89.45682
Selim Stationary,24.90104,89.35636
M/S Molla Traders,24.89493,89.45789
M/S Mollah Pharmacy,24.84767,89.36508
Nur Pharmacy And Computer,24.89536,89.15688
K G STORE,24.90481,89.57493
MAMUN MOBILE CENTER,24.86572,89.41873
Saiful Store,24.85974,89.44476
Roman Electrical Store,24.88193,89.54883
Zilla Variety Store,25.02918,89.49192
Mama Vagna Telecom,24.90104,89.35636
BRISTY BADOL ELECTRONIC,24.89493,89.45789
Sadia Traders,24.86572,89.41873
M/S Mama Vagna Variety Store,22.5766,88.00111
Maowa International,24.87972,89.35234
Mahmud Traders,24.92793,89.48412
Masud Pharmacy,24.84576,89.35985
M/S Sourov Traders,24.75653,89.2521
RIYA STORE,24.90104,89.35636
M/S MUNSHI TRADERS,24.83629,89.37468
Joy Traders And Telecom,24.98266,89.5012
M/S Maa-Medicine Center,24.82179,89.3635
M/S Al Mamun Store,24.83282,89.26784
M/S MOWJARIN TRADERS,24.78887,89.0539
T M Trading,24.90104,89.35636
FAZLUL HOQ TRADERS,24.78887,89.0539
FAIZUL STORE,24.79514,88.98423
SONIA DIGITAL STUDIO,24.90481,89.57493
M/S Master Traders,24.84767,89.36508
Salam Electronics And Telecom,24.90104,89.35636
Nisha Moni Enterprise,24.90104,89.35636
Nazim Store,22.10627,88.3109
JONY TELECOM,24.89493,89.45789
SOPNIL STORE,24.83629,89.37468
M/S Shoshi Traders,25.01663,89.31705
Hasan Medical Store,24.85046,89.36655
M/S Adil Variety Store,24.64496,89.25445
M/S Sohana Bostro Bitan,24.83282,89.26784
SULOTA JEWELERS,24.78887,89.0539
Badsha Bag Shop,24.88169,89.35375
Rangdhanu Cosmetics And Teleom,23.83078,82.92894
Riyad Digital Studio and Computer.,27.88527,79.91424
Himu And Rony Variety Store,25.05429,89.36858
M/S J S Telecom And Electri,24.90725,89.32819
Joni Store,24.88908,89.36034
M/S Jannatia Mobile Center,24.90104,89.35636
Maa Traders And Mobile Center,24.95134,89.28414
Mayer Doya Variety Store,25.03653,89.49977
M/S Islam Traders,25.19139,85.52223
PROMA VARIETY STORE,24.62992,89.43638
M/S Khushi Traders,24.85381,89.13507
Bismillah Pharmacy,24.88848,89.35986
M/S M M Enterprise,24.81372,89.07715
SAIRA TRADERS,24.78887,89.0539
SHIMLA MOBILE CENTER AND STUDIO,24.90104,89.35636
Ma Medicine Plus,24.82487,89.48958
MAYER DOYA MULTIMEDIA,25.01663,89.31705
MS Bhai Bon Pharmacy,24.73949,89.39739
M/S Maa Baba Steel Cong,24.62677,89.43698
NAYEM TELECOM,24.78887,89.0539
Araf Enterprise,24.90104,89.35636
New Maa Motors,24.95134,89.28414
Sojib Telecom,25.02865,89.45682
SHERPUR MOTORS,24.62992,89.43638
T A T Telecom,24.77717,89.49511
M/S Sohel Enterprise,24.66403,89.49499
Medicine Corner,24.88169,89.35375
PRODIP ELECTRONICS,24.64953,89.25301
Rakib Computer And Electronics,24.78355,89.47556
BABA MAA DOYA STORE,24.85464,89.37251
Ferdous Enterprise,24.88193,89.54883
APON DIGITAL STUDIO AND MULTIMEDIA,24.85046,89.36655
MAA BABAR DOA REFRIGERATION,24.88848,89.35986
M/S Talukdar Traders,24.89536,89.15688
Polok Store,24.90104,89.35636
Nirala Studio Photostat And Cosmetics,24.90104,89.35636
Patient Care Pharmacy,24.84525,89.51633
NAHAR PHARMACY,24.90104,89.35636
SUJIT VARIETY,24.84525,89.51633
MONISHA MITA TELECOM,25.02918,89.49192
M/S MOJNU PHARMACY,25.01771,89.4023
Mizan Electric,24.66948,89.45928
Nohan Pharmacy,24.8494,89.37297
MS Mama Vagne Traders,24.83282,89.26784
M/S Sumon Variety Store,24.90481,89.57493
Zafor Store,22.43834,88.42373
MOBASHERA PHARMACY AND CHIKITSHA KENDRO,24.90104,89.35636
M/S Miraz Associate,27.79791,79.79668
M/S Aminur Store,24.90104,89.35636
RIA TELECOM,24.90481,89.57493
M/S JAKARIA STORE,24.00654,88.03801
M R Mobile Center,24.90104,89.35636
ZIHAN TELECOM,24.60423,89.23988
Tithi Digital Communication,24.84525,89.51633
Mafzan Telecom,25.01663,89.31705
Siam Variety Store,24.88267,89.54186
Safayet Traders,24.66948,89.45928
Mostori Pharmacy,25.72988,81.02293
M/S Suraiya Telecom,25.02284,89.43119
MASERS USHOSHI COSMETICS AND MOBILE BANKING,24.89569,89.56766
Vai Vai Telecom And Studio,24.82487,89.48958
NUSRAT TELECOM AND MOBILE SERVICING CENTER,24.90104,89.35636
MANIK STORE,28.15965,80.23504
CHAON STORE,24.90104,89.35636
Janani Studio And Mobile Center,24.64953,89.25301
Dablu Variety Store,26.06024,89.1453
Khandokar Variety Store,24.83282,89.26784
M/S Samir Electronics And Servicing Center,24.89536,89.15688
Post E Center,24.90104,89.35636
M/S Samrat Traders,24.85974,89.44476
Sonali Electronics And Funiture,27.85573,79.91806
M/S Ahasan Electronics,25.01522,89.31721
Korotoya Photostat,24.90104,89.35636
Bismillah Pharmacy,24.89493,89.45789
BROTHERS TELECOM,24.62992,89.43638
HAQUE VARIETY STORE,28.97932,77.4406
M/S BHAI BHON TRADERS,24.83282,89.26784
Vai Vai Traders,24.83629,89.37468
Vai Vai Telecom,24.62992,89.43638
Niher Varieties,24.62992,89.43638
BAYJID RUPA ENTERPRISE,24.8785,89.18172
M/S Haque Traders,27.85573,79.91806
Bahiya Telecom,24.90104,89.35636
Keya Telecom And Sports Gallery,24.64496,89.25445
M/S Nisat Traders,24.85046,89.36655
Ma Baba Telecom,24.84578,89.36555
TARA TELECOM AND MOBILE PALACE,24.89493,89.45789
M/S Vai Vai Traders,25.03658,89.49942
Jibon Mobile Banking,24.88169,89.35375
Mukta Store,24.87711,89.43933
Choa Medicine Corner,24.88745,89.56639
M/S Sumon Telecom,24.62992,89.43638
1 Field Regiment Artillery Canteen,24.90104,89.35636
S S Enterprise,24.9033,89.35556
M/S Arif Mobile Center And Electronics,24.64496,89.25445
HIMEL TELECOM,24.85046,89.36655
M/S Habib Traders,28.93594,80.2872
Vai Vai Electronics,24.62992,89.43638
Mukul Store,24.83629,89.37468
Bismillah Enterprise,25.02865,89.45682
Moushumi Bag Bazar,24.84968,89.37299
Maa Telecom,24.90104,89.35636
Mamun Store,24.88169,89.35375
BRISHTY COSMETICS,24.83282,89.26784
BADHON TELECOM,24.67073,89.4514
Network Services,24.73949,89.39739
M/S Toraf Uddin Traders,25.01663,89.31705
Sonia Digital Studio And Photostat,24.90481,89.57493
M/S Badhon Enterprise,24.83629,89.37468
M/S Sultan Paan Ghar,24.64953,89.25301
Mother Homeo Hall,24.62992,89.43638
Sinan Computer Center Digital Studio And Photostate,25.02918,89.49192
M/S Vai Vai Store,24.77493,89.50187
Asad Telecom,24.90104,89.35636
M/S Zedan Mobile Service Point And Computer Center,24.88283,89.22208
Maowa Telecom And Computers,24.95134,89.28414
Shaqu Store,24.84525,89.51633
M/ S MIM TRADERS,24.89536,89.15688
Ruhul Medical Holl,25.01663,89.31705
M/S Shova Store,24.62992,89.43638
Saju Mobile Corner,24.90104,89.35636
Picture Palace Studio,24.8494,89.37297
Al Mujadded Stationary,24.90104,89.35636
Bandhon Digital Studio,24.66908,89.46732
SINGER BANGLADESH LIMITED,24.99043,89.33284
AKASH DIGITAL STUDIO,24.95134,89.28414
M/S Apurbo Studio,24.82179,89.3635
Saba Departmental Store,24.88169,89.35375
Eyarob Stationerise,24.88169,89.35375
Ma Bastro Bitan And Shoe Store,24.86145,89.49583
Nusrat Store,24.62992,89.43638
M/S Vai Vai Shoe-Store And Cloth Store,24.83864,89.36856
Das Traders,24.90104,89.35636
Tonmoy Traders,24.90481,89.57493
Maa Traders,24.88283,89.22208
Siam Electric,24.90104,89.35636
M Haque Traders,24.8494,89.37297
Maa Confectionary And Telecom,24.60423,89.23988
F N F Computer And Studio,25.03653,89.49977
ABADA COSMETICS,24.90481,89.57493
Ripon Mobile Bazar,24.84908,89.37534
M/S Talukder Traders,24.78887,89.0539
M/S Mahin Enterprise,24.62992,89.43638
M/S Three R Traders,24.88169,89.35375
M  R  Telecom,24.89536,89.15688
Roj Rajia Varieties Store,24.90481,89.57493
Roni Telecom,24.66526,89.4191
Asha Studio And Telecom,24.83629,89.37468
Mahi Cosmetics,24.62992,89.43638
DIGITAL COMPUTER,24.90104,89.35636
Rimi Telecom And Shop,11.13621,79.07727
TAKE AND GIVE,24.83864,89.36856
Suchona Telecom,24.90104,89.35636
S R TELECOM,24.67073,89.4514
R R Pharmacy,24.90104,89.35636
M/S Mim Mudi Store,24.64496,89.25445
M/S Polash Telecom,22.79359,88.83427
Shuvo Mobile Center,24.64496,89.25445
Shuba Store And Mobile Center,24.89493,89.45789
M/S Rana Cosmetics And Shoe Store,24.78887,89.0539
VAI VAI STORE,24.62992,89.43638
Tasin Electronics And Gas Corner,24.71143,89.59604
Jobeda Variety Store,24.84037,89.10183
M Trade System,24.90104,89.35636
RAHMAN TRADE LINK,24.88169,89.35375
Protik Store,24.84578,89.36555
M/S Vai Vai Traders,25.01663,89.31705
Noman Motors,24.66948,89.45928
Islam Photostat,24.83629,89.37468
M/S Vai Vai Store,24.83437,89.07994
M/S Faruk Enterprise,24.66948,89.45928
MASUD ENTERPRISE,24.8494,89.37297
M/S Akondo Agro Traders,24.67944,89.53348
Tasin Variety Store,22.47505,88.34522
M/S SUHA TRADERS,24.90104,89.35636
Janoni Traders,24.90104,89.35636
Bismillah Mobile,24.90104,89.35636
Malek Photostat And Mobile Center,24.8494,89.37297
Babu Telecom,24.64496,89.25445
PINTU TRADERS,24.89493,89.45789
Tanha Homio Hall,25.02918,89.49192
EUSUF TELECOM,24.62992,89.43638
Saju Store,24.90104,89.35636
Al Noman Telecom,,24.87132,89.18064
Jamila Furniture House,23.02693,88.19211
Owadut Variety Store And Telecom,24.62992,89.43638
Sania Departmental Store,24.90104,89.35636
SHATATA DIGITAL STUDIO,24.90104,89.35636
Jannat Super Shop,24.66902,89.43095
SHAHIN MEDIA,24.90104,89.35636
M/S Ansar Store,24.62992,89.43638
Mithi Telecom,24.66948,89.45928
Mukta Mobile Shopping,24.84015,89.43846
Maa Variety Store,21.06625,86.49086
M/S Bhai Bhai Traders,24.83282,89.26784
M/S Zakir Traders,24.83282,89.26784
Chowdhury Pharmacy,24.90104,89.35636
Raj Photostat,24.90104,89.35636
Mid Night Telecom,24.90104,89.35636
National Telecom,24.89493,89.45789
Sumi Telecom,24.64496,89.25445
Maria Medical Store,25.03653,89.49977
Saba Enterprise,25.01522,89.31721
Rupaly Polli Supar Shop,24.95134,89.28414
Molla Store,24.90104,89.35636
Dui Bon Pharmacy,24.87843,89.49706
RASHED STORE,24.90104,89.35636
MR BURGER,24.84908,89.37534
Durgapur Bazar Somiti,24.79826,89.21656
Sotota Refrigeration,24.62992,89.43638
TASIN MOBILE BANKING,25.01663,89.31705
Ma Babar Doa,24.85974,89.44476
M/S HASIB PHARMACY,25.01663,89.31705
Sheba Medical,24.85046,89.36655
M M Store,24.90104,89.35636
Basak Medicine,24.89536,89.15688
Othoi Traders,24.84576,89.35985
Raisa Electronics And Telecom,24.64496,89.25445
Yusuf Telecom,24.83282,89.26784
Sarkar Computers And Telecom,25.03653,89.49977
M/S Hasib Poultry Feed And Chicks,24.92635,89.25688
New Maa Telecom,24.90104,89.35636
Afsana Pharmacy,24.62992,89.43638
Rouza Store And Telecom,24.86145,89.49583
M/S JONONI PONNO BITAN,22.4459,88.38716
FRIENDS ENTERPRISE,24.90104,89.35636
Master Photostat And Stationery,24.90104,89.35636
M/S Maruf Store,24.79826,89.21656
M/S Ekram Traders,24.78847,89.38978
Sarder Traders,24.89536,89.15688
M/S Maa Babar Doa Electronics,24.77493,89.50187
Shokal Shondha Telecom,24.84525,89.51633
RANA TELECOM,24.83864,89.36856
M/S SHOPTOK ENTERPRISE,24.85961,89.40059
M/S SHANTI TELECOM,24.82508,89.36492
Maa Variety Store,27.24916,84.39815
Talukder Traders,24.89098,89.3494
SOBUJ TELECOM,24.84576,89.35985
Ma Pharmacy,24.90104,89.35636
Vai Bon Traders,25.01663,89.31705
M/S Feroz Electric,24.66298,89.4204
New Star Digital Studio,24.90104,89.35636
New Nabik Sanitary,24.83864,89.36856
M/S Sifat Store,24.62992,89.43638
Nayon Traders,24.92793,89.48412
Priti Telecom,24.90104,89.35636
Sotota Photo Studio And Telecom Center,24.79826,89.21656
YOUSUF ELECTRONICS AND TELECOM,24.89493,89.45789
Master Pharmacy,24.8516,89.37353
M/S Sporso Telecom,24.78887,89.0539
Rodela Recharge Point,24.62992,89.43638
Dhaka Cosmetics,32.78031,130.37182
S CORNER,24.83864,89.36856
M/S Anamul Traders,24.64496,89.25445
MILTON STORE,24.90104,89.35636
M/S RONGTULI STUDIO,28.08551,80.01144
Sm Enterprise,24.83293,89.37459
A R DOOR GALLERY,24.8494,89.37297
Bhai Bhai Telecom,24.83629,89.37468
Ma Electric,25.01663,89.31705
Tasnia Pharmacy,24.90104,89.35636
Mahim Telecom Center,25.02918,89.49192
Shapon Pharmacy And Flexiload,25.02918,89.49192
M/S RUHUL STORE,25.02284,89.43119
New Mun Tailers,24.83864,89.36856
Labonno Library And Cosmetics,24.64496,89.25445
Biplob Multimedia And Digital Studio,24.62992,89.43638
M/S Robiul Telecom,23.29525,87.20739
Borno Photostat And Telecom,24.83864,89.36856
POURO DIGITAL CENTER,25.02918,89.49192
M/S Dui Bon Traders,24.62992,89.43638
Green World Enterprise,24.78887,89.0539
NAZMA ELECTRONICS,24.88283,89.22208
Vatra Union Digital Center,24.64496,89.25445
Digital Studio Mukti,24.67073,89.4514
